1.30
lambda flux err
2406.087899443762 0 0
2406.478198169263 0 0
2406.868496894764 0 0
2407.258795620265 0 0
2407.649094345765 0 0
2408.039393071266 0 0
2408.429691796767 0 0
2408.819990522268 0 0
2409.210289247768 0 0
2409.600587973269 0 0
2409.99088669877 0 0
2410.381185424271 0 0
2410.771484149772 0 0
2411.161782875272 0 0
2411.552081600774 0 0
2411.942380326274 0 0
2412.332679051775 0 0
2412.722977777276 0 0
2413.113276502776 0 0
2413.503575228277 0 0
2413.893873953778 0 0
2414.284172679279 0 0
2414.674471404779 0 0
2415.064770130281 0 0
2415.455068855781 0 0
2415.845367581282 0 0
2416.235666306782 0 0
2416.625965032284 0 0
2417.016263757785 0 0
2417.406562483286 0 0
2417.796861208786 0 0
2418.187159934287 0 0
2418.577458659788 0 0
2418.967757385288 0 0
2419.358056110789 0 0
2419.748354836289 0 0
2420.138653561791 0 0
2420.528952287292 0 0
2420.919251012793 0 0
2421.309549738293 0 0
2421.699848463794 0 0
2422.090147189295 0 0
2422.480445914796 0 0
2422.870744640297 0 0
2423.261043365797 0 0
2423.651342091298 0 0
2424.041640816799 0 0
2424.431939542299 0 0
2424.8222382678 0 0
2425.212536993301 4.36364 1.64983
2425.602835718802 4.85271 1.78421
2425.993134444303 4.73057 1.6858
2426.383433169804 9.62254 2.26335
2426.773731895304 4.1329 1.66139
2427.164030620805 4.82623 1.80714
2427.554329346306 3.38642 1.64951
2427.944628071807 7.31857 2.00808
2428.334926797308 6.37215 1.98756
2428.725225522808 2.49404 1.62014
2429.115524248309 5.06945 1.86851
2429.50582297381 5.39193 1.91183
2429.89612169931 3.90571 1.7678
2430.286420424811 3.98063 1.76765
2430.676719150312 4.25792 1.8265
2431.067017875813 4.16195 1.82887
2431.457316601314 4.64059 1.87801
2431.847615326815 5.55 1.98349
2432.237914052315 5.6714 1.97622
2432.628212777817 4.38138 1.91588
2433.018511503317 5.01083 1.95801
2433.408810228818 3.07347 1.8128
2433.799108954319 2.06894 1.67351
2434.18940767982 0.978839 1.64162
2434.57970640532 3.26754 1.84613
2434.970005130821 3.91736 1.89444
2435.360303856322 3.40174 1.8836
2435.750602581822 1.10241 1.6151
2436.140901307324 1.74854 1.70476
2436.531200032824 1.26108 1.73563
2436.921498758325 0.856499 1.63003
2437.311797483825 3.5826 1.87937
2437.702096209327 0.655703 1.60594
2438.092394934828 -1.42514 1.32697
2438.482693660328 2.12871 1.79827
2438.872992385829 0.200141 1.52662
2439.26329111133 2.43374 1.80279
2439.653589836831 2.86324 1.80136
2440.043888562331 3.61908 1.90059
2440.434187287832 0.0236137 1.49097
2440.824486013333 0.612569 1.60221
2441.214784738834 3.13155 1.85917
2441.605083464335 0.889637 1.56086
2441.995382189835 3.06572 1.8079
2442.385680915336 1.47385 1.70891
2442.775979640837 -0.498016 1.43388
2443.166278366338 2.90363 1.80705
2443.556577091838 2.69724 1.79734
2443.946875817339 8.03153 2.17654
2444.33717454284 2.86803 1.78516
2444.727473268341 1.65659 1.68508
2445.117771993842 3.30059 1.82513
2445.508070719343 2.95738 1.79817
2445.898369444843 2.25229 1.73573
2446.288668170344 2.49658 1.74414
2446.678966895845 3.71903 1.25159
2447.069265621345 3.21182 1.2168
2447.459564346846 2.51784 1.17258
2447.849863072348 4.96341 1.33279
2448.240161797848 3.58464 1.26015
2448.630460523349 5.18535 1.34921
2449.020759248849 2.72747 1.19069
2449.411057974351 3.07442 1.21212
2449.801356699851 3.81633 1.29268
2450.191655425352 5.33982 1.36342
2450.581954150853 4.2287 1.31185
2450.972252876354 3.18192 1.23127
2451.362551601855 2.76948 1.22659
2451.752850327355 1.48716 1.11193
2452.143149052856 3.1119 1.25061
2452.533447778356 2.74805 1.2204
2452.923746503858 2.42069 1.20441
2453.314045229358 1.64691 1.16621
2453.704343954859 2.96148 1.25402
2454.09464268036 2.46059 1.21575
2454.484941405861 2.17747 1.20303
2454.875240131362 3.51709 1.2953
2455.265538856863 1.71609 1.18498
2455.655837582364 2.87515 1.2734
2456.046136307864 3.83865 1.32246
2456.436435033365 2.68429 1.24685
2456.826733758866 2.98165 1.25825
2457.217032484366 2.6534 1.22469
2457.607331209867 1.50561 1.16337
2457.997629935368 3.41622 1.28885
2458.387928660869 3.19805 1.26263
2458.77822738637 4.57534 1.34282
2459.168526111871 3.97094 1.30113
2459.558824837371 5.00477 1.36763
2459.949123562872 2.53587 1.22386
2460.339422288373 1.19777 1.12622
2460.729721013874 0.476936 1.07188
2461.120019739374 2.1361 1.18001
2461.510318464875 3.84396 1.28977
2461.900617190376 1.36489 1.12822
2462.290915915877 1.81106 1.17086
2462.681214641377 3.03005 1.21912
2463.071513366878 2.15457 1.15802
2463.461812092379 4.16732 1.32258
2463.85211081788 3.26476 1.25273
2464.242409543381 1.12312 1.10485
2464.632708268881 3.36443 1.24651
2465.023006994382 2.83087 1.21665
2465.413305719884 3.80356 1.26564
2465.803604445384 2.12293 1.17375
2466.193903170885 0.508472 1.03412
2466.584201896385 2.19961 1.15538
2466.974500621887 3.17566 1.2152
2467.364799347387 3.98597 1.28064
2467.755098072888 3.17445 1.21945
2468.145396798389 2.40706 1.17513
2468.535695523889 5.72237 1.38365
2468.925994249391 2.98191 1.20979
2469.316292974891 1.9688 1.14999
2469.706591700392 2.28386 1.16859
2470.096890425892 1.15356 1.06465
2470.487189151394 4.26344 1.27671
2470.877487876894 4.41637 1.30169
2471.267786602395 1.8451 1.1298
2471.658085327896 3.68064 1.24073
2472.048384053397 3.06 1.21108
2472.438682778898 2.61325 1.17064
2472.828981504399 3.34207 1.21128
2473.219280229899 2.76325 1.18858
2473.6095789554 2.53858 1.16964
2473.999877680901 2.20056 1.13424
2474.390176406401 2.355 1.1532
2474.780475131902 4.83638 1.32142
2475.170773857403 3.32889 1.19798
2475.561072582904 4.14929 1.27669
2475.951371308405 2.89209 1.17321
2476.341670033905 4.1181 1.2734
2476.731968759406 3.97817 1.23775
2477.122267484907 3.84081 1.2387
2477.512566210408 2.75689 1.17246
2477.902864935909 2.65469 1.16557
2478.29316366141 2.00595 1.12221
2478.68346238691 2.32397 1.14404
2479.073761112411 3.96174 1.22901
2479.464059837912 2.96601 1.18003
2479.854358563412 3.71109 1.22034
2480.244657288913 3.35489 1.20952
2480.634956014414 2.86338 1.15091
2481.025254739915 3.60269 1.19982
2481.415553465415 4.27469 1.24032
2481.805852190916 4.61079 1.27832
2482.196150916417 3.15826 1.18133
2482.586449641918 3.62069 1.21204
2482.97674836742 2.86374 1.15949
2483.36704709292 2.06257 1.1015
2483.757345818421 1.26196 1.03693
2484.147644543922 3.12375 1.1667
2484.537943269422 2.76064 1.15868
2484.928241994923 2.5245 1.14676
2485.318540720423 2.67969 1.15561
2485.708839445924 2.86328 1.16547
2486.099138171425 3.33437 1.17834
2486.489436896927 3.07038 1.16412
2486.879735622427 1.68473 1.06759
2487.270034347928 1.81214 1.0865
2487.660333073428 3.00236 1.15994
2488.05063179893 2.6451 1.12928
2488.44093052443 2.63927 1.15477
2488.831229249931 3.70871 1.20808
2489.221527975432 2.22991 1.09772
2489.611826700933 1.74381 1.07959
2490.002125426433 2.76589 1.14824
2490.392424151934 4.1687 1.21991
2490.782722877435 5.13504 1.29256
2491.173021602935 4.97761 1.28596
2491.563320328437 3.33705 1.17143
2491.953619053937 2.6125 1.13014
2492.343917779438 2.81258 1.15245
2492.734216504939 2.97043 1.14685
2493.12451523044 4.58004 1.25538
2493.514813955941 1.46493 1.04825
2493.905112681441 3.4629 1.17361
2494.295411406942 3.49643 1.18981
2494.685710132443 2.20682 1.09717
2495.076008857944 4.77437 1.2622
2495.466307583444 2.44779 1.1184
2495.856606308945 1.96205 1.09312
2496.246905034446 1.70548 1.07779
2496.637203759947 3.0319 1.15946
2497.027502485448 3.67011 1.19371
2497.417801210948 2.85456 1.14558
2497.808099936449 3.53589 1.18898
2498.19839866195 3.90506 1.21462
2498.588697387451 2.71113 1.12225
2498.978996112951 1.57851 1.0589
2499.369294838452 2.36815 1.12029
2499.759593563953 3.39803 1.20184
2500.149892289454 2.26717 1.10576
2500.540191014955 2.30023 1.10567
2500.930489740456 3.82903 1.19754
2501.320788465956 3.22604 1.17263
2501.711087191457 2.50387 1.10858
2502.101385916958 1.90932 1.06994
2502.491684642458 1.84147 1.07536
2502.881983367959 2.18999 1.08476
2503.27228209346 2.19668 1.1002
2503.662580818961 2.74136 1.12993
2504.052879544462 2.05577 1.07583
2504.443178269963 1.63266 1.04945
2504.833476995464 3.21205 1.14712
2505.223775720964 2.24018 1.09767
2505.614074446465 1.12723 1.01242
2506.004373171966 1.68001 1.07325
2506.394671897467 1.8614 1.07624
2506.784970622967 2.0775 1.09735
2507.175269348468 1.71865 1.06286
2507.56556807397 3.80895 1.19937
2507.95586679947 1.84062 1.06601
2508.346165524971 1.96731 1.08977
2508.736464250471 1.49714 1.06287
2509.126762975972 2.6672 1.12338
2509.517061701473 2.0401 1.08943
2509.907360426974 2.625 1.13448
2510.297659152475 1.54976 1.05172
2510.687957877976 2.58102 1.1333
2511.078256603477 1.30297 1.04842
2511.468555328977 2.29766 1.11444
2511.858854054478 2.13308 1.10169
2512.249152779978 3.9012 1.2208
2512.63945150548 3.92603 1.20454
2513.02975023098 3.84396 1.19258
2513.420048956481 2.03688 1.10557
2513.810347681981 3.37415 1.18861
2514.200646407482 3.32482 1.18576
2514.590945132983 2.75329 1.14845
2514.981243858484 2.23942 1.11
2515.371542583985 3.93242 1.20177
2515.761841309486 3.62437 1.179
2516.152140034987 1.9132 1.0936
2516.542438760487 3.77525 1.20558
2516.932737485989 4.23715 1.23165
2517.323036211489 1.97882 1.08591
2517.71333493699 3.59904 1.18197
2518.103633662491 4.04868 1.22326
2518.493932387991 2.99289 1.16016
2518.884231113492 2.23198 1.11221
2519.274529838993 1.0312 1.02198
2519.664828564494 3.32823 1.17975
2520.055127289994 4.09654 1.23024
2520.445426015495 2.71558 1.1397
2520.835724740996 2.06364 1.09455
2521.226023466497 1.0632 1.035
2521.616322191998 2.58469 1.13088
2522.006620917499 1.73047 1.07253
2522.396919643 1.73324 1.07363
2522.7872183685 2.73943 1.13801
2523.177517094001 3.01559 1.16085
2523.567815819502 3.55853 1.18541
2523.958114545002 2.90175 1.14782
2524.348413270504 2.00895 1.10204
2524.738711996004 2.31639 1.13158
2525.129010721505 2.95936 1.15359
2525.519309447005 3.49638 1.19914
2525.909608172506 2.11679 1.09908
2526.299906898007 1.74653 1.08456
2526.690205623508 2.82585 1.14378
2527.080504349009 3.93628 1.19916
2527.47080307451 2.56676 1.13319
2527.861101800011 1.50847 1.06075
2528.251400525511 0.481151 0.986715
2528.641699251012 0.848384 1.01402
2529.031997976513 1.87251 1.08343
2529.422296702014 4.00338 1.2222
2529.812595427514 2.7735 1.14583
2530.202894153015 2.7262 1.14094
2530.593192878515 2.25836 1.10622
2530.983491604016 2.25753 1.11217
2531.373790329518 2.19393 1.10136
2531.764089055019 2.89715 1.16153
2532.154387780519 3.48203 1.19144
2532.54468650602 2.34608 1.12051
2532.934985231521 1.63035 1.08296
2533.325283957021 0.382676 0.987801
2533.715582682523 1.60741 1.07627
2534.105881408023 3.10631 1.17266
2534.496180133524 3.0084 1.15733
2534.886478859025 3.62695 1.20805
2535.276777584525 4.55375 1.27227
2535.667076310026 3.65567 1.2071
2536.057375035526 3.51628 1.19956
2536.447673761028 2.77435 1.14534
2536.837972486529 1.50681 1.04887
2537.22827121203 2.20078 1.12069
2537.61856993753 1.38196 1.06415
2538.008868663031 1.54607 1.06392
2538.399167388533 2.3659 1.13992
2538.789466114033 1.82294 1.09199
2539.179764839534 3.47187 1.19708
