1.10
lambda flux err
2405.795 0 0
2406.185 0 0
2406.575 0 0
2406.966 0 0
2407.356 0 0
2407.746 0 0
2408.136 0 0
2408.527 0 0
2408.917 0 0
2409.307 0 0
2409.697 0 0
2410.088 0 0
2410.478 0 0
2410.868 0 0
2411.258 0 0
2411.649 0 0
2412.039 0 0
2412.429 0 0
2412.819 0 0
2413.21 0 0
2413.6 0 0
2413.99 0 0
2414.38 0 0
2414.771 0 0
2415.161 0 0
2415.551 0 0
2415.941 0 0
2416.332 0 0
2416.722 0 0
2417.112 0 0
2417.503 0 0
2417.893 0 0
2418.283 0 0
2418.673 0 0
2419.064 0 0
2419.454 0 0
2419.844 0 0
2420.234 0 0
2420.625 0 0
2421.015 0 0
2421.405 0 0
2421.795 0 0
2422.186 0 0
2422.576 0 0
2422.966 0 0
2423.356 5.95213 1.42856
2423.747 1.78611 1.10213
2424.137 4.29464 1.50306
2424.527 4.321 1.52264
2424.917 6.69673 1.72554
2425.308 0.119067 1.03506
2425.698 3.9715 1.37378
2426.088 4.16864 1.49673
2426.479 4.1882 1.48091
2426.869 3.83201 1.07417
2427.259 6.08609 1.1605
2427.649 4.35994 1.09289
2428.04 5.67283 1.17582
2428.43 5.11073 1.14524
2428.82 4.79096 1.13332
2429.21 5.12476 1.15941
2429.601 4.7932 1.13657
2429.991 4.82549 1.1551
2430.381 4.09478 1.12518
2430.771 5.36736 1.19476
2431.162 4.90071 1.17461
2431.552 3.78608 1.13326
2431.942 4.31568 1.17041
2432.333 3.28613 1.12758
2432.723 3.27501 1.12455
2433.113 3.31779 1.138
2433.503 3.76434 1.17019
2433.894 1.67272 1.05823
2434.284 0.911906 1.00855
2434.674 1.33311 1.04535
2435.064 1.11731 1.03011
2435.455 3.0782 1.13923
2435.845 1.91698 1.0834
2436.235 2.51424 1.14369
2436.625 3.59151 1.19326
2437.016 0.566333 1.02575
2437.406 0.897799 1.04168
2437.796 2.581 1.12818
2438.187 2.46411 1.12629
2438.577 3.17979 1.14862
2438.967 3.89626 1.18283
2439.357 2.59484 1.12023
2439.748 3.67639 1.18454
2440.138 2.6612 1.11752
2440.528 2.20715 1.10081
2440.918 1.97751 1.08212
2441.309 4.49118 1.2113
2441.699 3.04142 1.15008
2442.089 1.48064 1.06318
2442.479 3.09737 1.13593
2442.87 2.96012 1.00308
2443.26 2.34768 0.921228
2443.65 4.63806 1.04435
2444.041 4.25883 0.958046
2444.431 3.68694 0.779792
2444.821 3.62834 0.792261
2445.211 3.77337 0.800388
2445.602 5.42926 0.858363
2445.992 5.29717 0.859301
2446.382 4.90808 0.844749
2446.772 3.85176 0.811667
2447.163 3.34359 0.776754
2447.553 4.36049 0.830727
2447.943 4.2064 0.783627
2448.333 3.86564 0.760409
2448.724 3.43304 0.683903
2449.114 4.39561 0.710256
2449.504 4.41152 0.715958
2449.894 4.3578 0.722689
2450.285 4.49864 0.72916
2450.675 4.82291 0.737611
2451.065 4.61971 0.732256
2451.455 4.14784 0.718881
2451.846 4.42041 0.728568
2452.236 3.50732 0.702115
2452.626 3.38939 0.700732
2453.016 2.94059 0.691851
2453.407 3.0714 0.692342
2453.797 3.26314 0.70275
2454.187 3.57107 0.712256
2454.578 3.99095 0.723445
2454.968 3.55477 0.707911
2455.358 4.12057 0.736194
2455.748 3.32933 0.707875
2456.139 2.93844 0.688161
2456.529 2.75547 0.686239
2456.919 3.99832 0.730919
2457.309 3.753 0.717257
2457.7 2.50366 0.676937
2458.09 3.04557 0.69483
2458.48 3.82958 0.723717
2458.87 4.90675 0.756999
2459.261 4.0595 0.727685
2459.651 3.22784 0.70402
2460.041 3.69077 0.714953
2460.431 3.46158 0.711855
2460.822 3.20184 0.701865
2461.212 4.06761 0.732729
2461.602 4.54615 0.742816
2461.992 4.05546 0.720582
2462.383 3.44537 0.711304
2462.773 3.95347 0.72241
2463.163 3.81827 0.710487
2463.553 2.8995 0.687168
2463.944 3.1373 0.649238
2464.334 3.63576 0.613277
2464.724 3.91224 0.622603
2465.115 3.33081 0.610678
2465.505 3.6405 0.621356
2465.895 4.28439 0.638468
2466.285 4.01107 0.630401
2466.676 4.40342 0.644026
2467.066 4.65929 0.652119
2467.456 4.18699 0.640762
2467.846 3.33103 0.609984
2468.237 3.03895 0.60052
2468.627 3.49774 0.619188
2469.017 3.34629 0.611485
